cid;comment;reply_cid;reply_id;reply_text
7394092987489616673;im from thailand and shopee is from thailand I believe;7394765626281296656;7394092987489616673;Singapore mate 💀
7394092987489616673;im from thailand and shopee is from thailand I believe;7394857640381121313;7394092987489616673;cheez sry beo
7394092987489616673;im from thailand and shopee is from thailand I believe;7394965182767743745;7394092987489616673;Allg
7394092987489616673;im from thailand and shopee is from thailand I believe;7395119101725655813;7394092987489616673;🤯
7394092987489616673;im from thailand and shopee is from thailand I believe;7394751389480108821;7394092987489616673;It’s from Singapore
7394092987489616673;im from thailand and shopee is from thailand I believe;7395224695635329799;7394092987489616673;that shopee ad is from singapore
7389162919491683078;Im a fan of ronaldo but this is -♾️♾️♾️♾️♾️♾️aura💀;7395243733933114118;7389162919491683078;Shopee 🗣️🗣️🗣️🗣️
7389162919491683078;Im a fan of ronaldo but this is -♾️♾️♾️♾️♾️♾️aura💀;7389165429241463557;7389162919491683078;newgen
7389162919491683078;Im a fan of ronaldo but this is -♾️♾️♾️♾️♾️♾️aura💀;7389301473035141893;7389162919491683078;What do you mean newgen? What did i do?
7376808751275672362;Ronaldo had a aura reset😭🙏;7376936246571270955;7376808751275672362;😭🙏
7387421700802003719;Bro shopee w Malaysia shopee;7387610063168865029;7387421700802003719;Singapore bro no Malaysia
7387421700802003719;Bro shopee w Malaysia shopee;7387859662337803013;7387421700802003719;that indonesia bro
7387421700802003719;Bro shopee w Malaysia shopee;7388398544594862865;7387421700802003719;malu je bro, search google shopee founded dkat negara mana
7387421700802003719;Bro shopee w Malaysia shopee;7389492282397164294;7387421700802003719;ya tau dari Singapura, tapi iklan Ronaldo ini Untuk shopee Indonesia
7387421700802003719;Bro shopee w Malaysia shopee;7395379760161882896;7387421700802003719;mostly asean countries
7375355072824050437;in philippines;7375784250510017285;7375355072824050437;no but that's in Indonesia
7375355072824050437;in philippines;7376528944797418247;7375355072824050437;stfu u guys it's vietnam
7375355072824050437;in philippines;7376982218550428422;7375355072824050437;bukanya dari Singapura yak😂
7375355072824050437;in philippines;7377381169363911430;7375355072824050437;Dri bahasany Filipina itu bro, itu iklanny emg ditampilin sama di negara² Asia, kl shopee asal Singapura
7375355072824050437;in philippines;7388860054822568710;7375355072824050437;lah ronaldo ke kantor shope di indonesia bro trus ketemu anak angkatnya di indo
7375355072824050437;in philippines;7395227138536424210;7375355072824050437;shopee singapore ✌🏻
7324714781063086879;Bro who wouldn’t do it for the money;7370364833311327008;7324714781063086879;ronaldo already stacked on cash tho
7324714781063086879;Bro who wouldn’t do it for the money;7376744875679384326;7324714781063086879;21 mill for doing that
7324714781063086879;Bro who wouldn’t do it for the money;7386430146746893087;7324714781063086879;people with integrity, money worshipper.
7388076321014498064;@K what;7388124830339744530;7388076321014498064;clm🥰🥰 shopee
7367718408739373829;ronaldo said syawpi;7388358835465814804;7367718408739373829;shoppe bro
7334729778124096263;người việt đầu tiên;7376208235165008648;7334729778124096263;Thứ 6
7334729778124096263;người việt đầu tiên;7394355958316991248;7334729778124096263;Thứ 7
7334729778124096263;người việt đầu tiên;7359108861104161554;7334729778124096263;thứ 5
7334729778124096263;người việt đầu tiên;7357974972672262918;7334729778124096263;thứ 4
7334729778124096263;người việt đầu tiên;7352008665488818962;7334729778124096263;thứ 2
7334729778124096263;người việt đầu tiên;7355112526823342865;7334729778124096263;3
7360236035727573768;Ronaldo phiên bản shopee;7373663610705298183;7360236035727573768;Ronaldo này thật nhưng lại quảng cáo cho Shoppe:)
7388724353738179346;uy philippines 🇵🇭🇵🇭🇵🇭;7391631279861957383;7388724353738179346;d lang sa pilipinas may shoppee aguy
7388724353738179346;uy philippines 🇵🇭🇵🇭🇵🇭;7389149101026362129;7388724353738179346;IT'S MALAYSIA
7388724353738179346;uy philippines 🇵🇭🇵🇭🇵🇭;7391320966279971585;7388724353738179346;shut up💀
7388724353738179346;uy philippines 🇵🇭🇵🇭🇵🇭;7394922550416179988;7388724353738179346;So you can’t accept it’s from Malaysia?
7388724353738179346;uy philippines 🇵🇭🇵🇭🇵🇭;7395431103575802642;7388724353738179346;also Singapore
7388723717382112018;uyy Philippines 🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭;7388921819664810758;7388723717382112018;singapore
7388723717382112018;uyy Philippines 🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭;7394844042733896449;7388723717382112018;anong philipines sa video dito?
7388723717382112018;uyy Philippines 🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭;7395831504427598610;7388723717382112018;it's in Singapore bro 💀💀🔥🔥🔥🙏🙏🙏
7388723717382112018;uyy Philippines 🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭;7395842932585579265;7388723717382112018;yeah bro they think its in philipines
7315582765294355205;Philippines 😁😁😁;7319689718228189958;7315582765294355205;@overproudpilipinofucker
7315582765294355205;Philippines 😁😁😁;7320339032440734469;7315582765294355205;Im fillipino but i agree
7315582765294355205;Philippines 😁😁😁;7320339131719631621;7315582765294355205;He cant accept the fact shoppee is in multiple countries
7315582765294355205;Philippines 😁😁😁;7320501496901567237;7315582765294355205;.
7315582765294355205;Philippines 😁😁😁;7340636963709518598;7315582765294355205;Ronaldo went to Indonesia 3x bro
7315582765294355205;Philippines 😁😁😁;7389144451518546706;7315582765294355205;let bro dream man his soo happy that ronaldo knows shopee like him
7355080255507612423;5555กูหลั่นเลย;7360257073802937105;7355080255507612423;หลั่น🥵🥵
7355080255507612423;5555กูหลั่นเลย;7391530151416988423;7355080255507612423;ถั่วหลั่นเตา🔥
7363262848530924296;โรนัลโด้;7363262967687185170;7363262848530924296;ฟักยู
7328738295214605062;philipines is ohio;7332763885268927237;7328738295214605062;gandeng eta teh yeuh ujang eta ti Indonesia lain plipanal
7328738295214605062;philipines is ohio;7332765676090999558;7328738295214605062;owwiizhsiaywi1y28ysbskanamazjjsoakqwwuhs ahahahnaa aksjwowj1o2us9s7w7 🤏😎⛓🇮🇩
7372788848022438661;Indonesia sendiri;7389924727487824648;7372788848022438661;ha? maksud nya🗿
7372788848022438661;Indonesia sendiri;7390338896750756613;7372788848022438661;liat tgl
