cid,comment,reply_cid,reply_id,reply_text
7314899079347569413,p @yippeeeyeyy,,,
7327305383465845509,ok,,,
7345844933536318214,ok tq infonya,,,
7372821265873027845,"Mau Jualan makanan Goreng Garem Jengkol, tapi harus ngisi BPOM atau SPP-irt, dan dapetin itu tuh susah. 😭😭😭",,,
7340284922965558022,"selalu ditolak pas pendaftaran alasan: Nama Perwakilan yang Anda cantumkan berbeda dengan nama yang terdapat di tanda pengenal Anda, Harap cantumkan n",,,
7350317220076913414,aku cmn bingung gmn si cara ngirim barang pas org pesan kirim lwt mn😭,,,
7379449049008685830,"Kak, Aq kan udah dftar jd affiliator. Nah, Aq juga mau jd penjualnya dlm satu akun yg sama. Itu bisa ga Kak? dan gmn langkahnya? Terima kasih kaka... :)",7.391720087230776e+18,7.379449049008686e+18,gak ada yg dibalas pertanyaannya
7273783026730517253,udh sukses donlod tpi blm tau caranya dapet sampel dari toko lainnya😔😔,7.273790987544561e+18,7.273783026730518e+18,4.Lalu klik Minta untuk mengajukan produk dan isi form untuk pengiriman.
"5.Pilih variasi, lalu klik Minta Sampel Gratis.",,,,
7273783026730517253,udh sukses donlod tpi blm tau caranya dapet sampel dari toko lainnya😔😔,7.273790924089755e+18,7.273783026730518e+18,"3.Cari produk yang ingin di review, scroll ke bawah dan temukan tulisan Sampel Gratis."
7273783026730517253,udh sukses donlod tpi blm tau caranya dapet sampel dari toko lainnya😔😔,7.273790813355132e+18,7.273783026730518e+18,"Hai, Kak. Berikut ya cara mendapatkan sampel gratis dari TikTok Shop :"
"1.Buka aplikasi TikTok, pilih menu TikTok Shop.",,,,
2.Klik Add product.,,,,
7273783026730517253,udh sukses donlod tpi blm tau caranya dapet sampel dari toko lainnya😔😔,7.274812303367505e+18,7.273783026730518e+18,sama-sama kak🙌
7273783026730517253,udh sukses donlod tpi blm tau caranya dapet sampel dari toko lainnya😔😔,7.273791508301301e+18,7.273783026730518e+18,thank kk otw mencoba 🤗
7273783026730517253,udh sukses donlod tpi blm tau caranya dapet sampel dari toko lainnya😔😔,7.273791025796433e+18,7.273783026730518e+18,"Selamat mencoba ya, semoga membantu!🫶"
7345659513746227973,Aku udah jd affiliate trs skr mau jualan sendiri .. gmn caranya kak,7.373657449495152e+18,7.345659513746228e+18,ya sama kak mau jualan sendiri caranya gmn?
7345659513746227973,Aku udah jd affiliate trs skr mau jualan sendiri .. gmn caranya kak,7.363037014164555e+18,7.345659513746228e+18,iyaa KA mau jualan sendnri
7314205076234470150,kak klw jualn produk hni bisa gak,7.367724391972603e+18,7.31420507623447e+18,"bisa kok bu, kalau mau jago clossing dr tiktok sy share tipsnya"
7273052122798162696,nais infooooo~,7.2730581813693e+18,7.273052122798163e+18,semoga bermanfaat🙌
7340407576137974533,aku harus ada dulu sertifikat bpom ka gimna. padahal aku jualan makanan,,,
7361948862200644358,Kk klo di akun ku sblumnya affiliate apa bisa lgsg jual sendiri dg tambah produk?,,,
7350610426444595974,cara buka toko ditiktok,,,
7327553636924998406,pengen jualan ditik tok bang tapi blm tahu caranya 🙏🙏🙏🙏minta infonya bang,,,
7351181047654056709,tutor upload produk secara massal bang,,,
7346861455218950918,nama web nya apa?,,,
7340094244940907270,Emang harus produk sendiri kah kk?,,,
7339478213930271493,bingung bng blm ngrti,,,
7337691788156044037,gmn crnya agar memasukan jualan sendiri ke tiktok,,,
7335302400527614725,kalau setingan PO bisakah?,,,
7331964630690628358,atur beratnya hrus minimal 2 kg knpa ya ?,,,
7330146503762002694,tutor cara jualan topi preloved bang,,,
7328763077003936517,Kkk saya upload produk kok gk ada pilihan dari galeri ya,,,
7326784979954189061,"om bagai mana cara mendagtar pertama kali di tiktok ,kalau kita pemula karena ygbkita jual adala makanan",,,
7325036511300092677,harus pake laptopnya kak.,,,
7322698063683683077,tutorial gabungin atau masukin tokopedia ke tiktokshop,,,
7322461885297836806,mau cara yg mantap mas,,,
7321873581888144134,dari awal lah cara uo produknya,,,
7321175290507428614,tengkyu bang,,,
7320570362197230342,Sangat edukatif,,,
7317882613857846022,itu pake seller center apa gmn kalo mau aplod brgnya?,,,
7317470358537454342,pake hp bisa ga bang?,,,
7316920116717650693,terus masalah pembayaran nya bos gimana kalo main cod,,,
7315191088367780613,minnn cara produk nya ada di urutan atas pas klik tiktokshop gmna,,,
7313767019386716933,"terus gmn bang klo buat cod untuk penjual, tutor bang",,,
7378812016847471366,🤣🤣🤣,,,
7378442652856402694,@p @r,,,
7377229655763616518,🤣🤣🤣,,,
7374790670328136454,@estellerdurian_,,,
7373976200769159941,aku ada freelance gratis ada yg mau?,7.381120906809345e+18,7.37397620076916e+18,ngkad neng
7397742205303522053,belum konsisten up vt.. 😁,,,
7386688258212791045,siap,,,
7394251687559824134,co in,,,
7387060689678418694,bismilah semoga sya jgk bisa,,,
7355130272923747078,bismillah baru mau mulai tiktok affiliate. mohon doa nya temen2,7.367673149511927e+18,7.355130272923747e+18,Semangatttt bg
