cid,comment,reply_cid,reply_id,reply_text,"cid,comment","cid,comment,""cid,comment"""
6832898468768612354,aku udh bisnis onlienshop dropship dari shopee gitu udh dari 2 smp sampe sekarang klas 2 sma sebulan bisa dpet 700-1juta an gitu,6.832898716077687e+18,6832898468768612354,"keep going ya!! jangan puas sama hasil yg skrg. go bigger ❤️❤️(karna dl aku trllu cpt puas, dan pas stop bntr, susah bgt mulainya 😂)",,
6832898468768612354,aku udh bisnis onlienshop dropship dari shopee gitu udh dari 2 smp sampe sekarang klas 2 sma sebulan bisa dpet 700-1juta an gitu,6.832909095947846e+18,6832898468768612354,"iya kak , tpi aku sekarang lgi ngirintis usaha masker organik aku yg bkal louncing 3 bulan lagi😁semua keuntungan aku tabung dan aku jadiin usaha mask",,
6832898468768612354,aku udh bisnis onlienshop dropship dari shopee gitu udh dari 2 smp sampe sekarang klas 2 sma sebulan bisa dpet 700-1juta an gitu,6.832898575417442e+18,6832898468768612354,KEREN!!! ❤️❤️❤️❤️,,
6832898468768612354,aku udh bisnis onlienshop dropship dari shopee gitu udh dari 2 smp sampe sekarang klas 2 sma sebulan bisa dpet 700-1juta an gitu,6.832932729744179e+18,6832898468768612354,keren banget 😭 udh nyoba nyari duit sendiri:),,
6832898468768612354,aku udh bisnis onlienshop dropship dari shopee gitu udh dari 2 smp sampe sekarang klas 2 sma sebulan bisa dpet 700-1juta an gitu,7.384958259168052e+18,6832898468768612354,wahh gmn caranya kak,,
6832898468768612354,aku udh bisnis onlienshop dropship dari shopee gitu udh dari 2 smp sampe sekarang klas 2 sma sebulan bisa dpet 700-1juta an gitu,6.863479373694304e+18,6832898468768612354,"kmu join nyaa gimana buat jadi dropsiper , aku pngn kira2 jadi dropsip yg laku apa yaa ?",,
6857480427012784129,"aku open dropship jimshoney, yuk yg mau tinggal bales komen ku 🥰 Jimshoney jualan paling gampang cuss",6.861523150866842e+18,6857480427012784129,mau kaa,,
6857480427012784129,"aku open dropship jimshoney, yuk yg mau tinggal bales komen ku 🥰 Jimshoney jualan paling gampang cuss",6.86152434556833e+18,6857480427012784129,cek ig aku ka @lasarasshop.jimshoney,,
6857480427012784129,"aku open dropship jimshoney, yuk yg mau tinggal bales komen ku 🥰 Jimshoney jualan paling gampang cuss",6.9219255168705e+18,6857480427012784129,Masih bisa gabung ga ka?,,
6857480427012784129,"aku open dropship jimshoney, yuk yg mau tinggal bales komen ku 🥰 Jimshoney jualan paling gampang cuss",6.86861359028342e+18,6857480427012784129,masih bisa gabung ga?,,
6857480427012784129,"aku open dropship jimshoney, yuk yg mau tinggal bales komen ku 🥰 Jimshoney jualan paling gampang cuss",6.865187446477292e+18,6857480427012784129,cara daftarnya gmana kak?,,
6857480427012784129,"aku open dropship jimshoney, yuk yg mau tinggal bales komen ku 🥰 Jimshoney jualan paling gampang cuss",6.864197495124476e+18,6857480427012784129,mau kak,,
6832919063556718594,kak tau supplier yg terpercaya ga? yg bnyk diminatin gt?,6.83294239444335e+18,6832919063556718594,"boleh folow ig : monshops_id kak, terima reseler dan dropship tanpa biyaya sepeserpun😍",,
6832919063556718594,kak tau supplier yg terpercaya ga? yg bnyk diminatin gt?,6.833004884636647e+18,6832919063556718594,punya kk?,,
6832919063556718594,kak tau supplier yg terpercaya ga? yg bnyk diminatin gt?,6.833027624559018e+18,6832919063556718594,iya aku ownernya resmi🥰,,
6832919063556718594,kak tau supplier yg terpercaya ga? yg bnyk diminatin gt?,6.833251822359577e+18,6832919063556718594,"mau donk kakk, masi bisa ga? tp ajarin dlu ya gmna😅 klo bisa saya mau ikut",,
6832919063556718594,kak tau supplier yg terpercaya ga? yg bnyk diminatin gt?,6.835245505669661e+18,6832919063556718594,pengen kak,,
6832919063556718594,kak tau supplier yg terpercaya ga? yg bnyk diminatin gt?,6.835728287751995e+18,6832919063556718594,Yg djual produk apa ? Klu perlengkapn alat fitness ada ga,,
6956903896103666433,tim ga berani make softlens takut masuk ke atas,6.956960932828382e+18,6956903896103666433,gw takut gabisa nyopot☺️☝️💔,,
6956903896103666433,tim ga berani make softlens takut masuk ke atas,6.956994054157256e+18,6956903896103666433,"nah iya sii ini, takut gabisa nyopotnya, tapi pengen make😌",,
6956903896103666433,tim ga berani make softlens takut masuk ke atas,6.957135303245825e+18,6956903896103666433,"nyopotnya di cubit aja, gampang ko",,
6956903896103666433,tim ga berani make softlens takut masuk ke atas,6.957282023665403e+18,6956903896103666433,"klo gua nyopot bs,masang nya ngga bs:v",,
6956903896103666433,tim ga berani make softlens takut masuk ke atas,6.957514009823577e+18,6956903896103666433,ihh mlh enakan lepasnya tau dri pda makenya😌,,
6956903896103666433,tim ga berani make softlens takut masuk ke atas,6.958106036859733e+18,6956903896103666433,Umuh kok sama,,
6956913911086121729,g prnh pke softlens,,,,,
ada si niatan mau pake tpi takut ga bisa di lepas:),6956954081160332033,6.956913911086122e+18,ak masi pemula dlm softlens dan pertama mikirnya kek gini eh ternyata nyopotinnya lebi gampang drpd masang suwerr 😂,,,
6956913911086121729,g prnh pke softlens,,,,,
ada si niatan mau pake tpi takut ga bisa di lepas:),6956982972017296129,6.956913911086122e+18,haha bener banget,,,
6956913911086121729,g prnh pke softlens,,,,,
ada si niatan mau pake tpi takut ga bisa di lepas:),6957011000398955266,6.956913911086122e+18,ga semenakutkan itu aslinya klo uda coba hehe,,,
6956913911086121729,g prnh pke softlens,,,,,
ada si niatan mau pake tpi takut ga bisa di lepas:),6957017538165228289,6.956913911086122e+18,bener bgt😂,,,
